출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
97,6.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,3,100.0,2,100.0,2,66.7,9,3,5,3,2,1,3,0,0,0,28,78.0,0,1,50.0,0,0,10,76.9,2,40.0,16,100.0,10,66.7,8,53.3,14,93.3,6,100.0,0,0.0,0,1,0,0,0,0,35,장호익
98,7.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,1,50.0,6,85.7,0,0.0,11,5,1,6,4,0,1,1,0,0,49,94.0,0,0,0.0,0,0,17,85.0,15,93.8,14,87.5,20,100.0,14,87.5,32,97.0,3,100.0,0,0.0,0,1,0,0,0,1,13,정운
98,6.2,0,0,1,0,0,1,0,1,0,0,0,6,0,0.0,1,1,33.3,1,50.0,0,0.0,0,2,2,3,3,1,3,0,0,0,47,85.0,1,15,79.0,0,0,5,71.4,2,66.7,12,80.0,33,89.2,11,78.6,18,78.3,18,100.0,1,50.0,0,1,0,0,0,0,17,김진야
92,7.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,1,50.0,5,55.6,0,0.0,11,5,1,0,4,0,0,0,0,0,46,94.0,0,0,0.0,0,0,27,93.1,3,60.0,23,100.0,20,95.2,19,95.0,21,91.3,6,100.0,0,0.0,0,1,0,0,0,1,30,김주성
97,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0,7,58.3,0,0.0,4,5,2,1,4,0,0,1,0,0,40,89.0,0,0,0.0,0,0,25,89.3,2,33.3,31,96.9,7,100.0,12,75.0,25,96.2,3,100.0,0,0.0,1,1,0,0,0,1,3,이상민
15,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,30,신세계
79,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,4,80.0,2,100.0,5,6,0,5,4,0,1,0,0,0,49,88.0,0,3,100.0,0,0,16,94.1,3,50.0,17,94.4,29,90.6,22,75.9,21,100.0,6,100.0,0,0.0,1,1,0,0,0,1,47,김동민
97,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,7,87.5,0,0.0,6,6,2,4,6,0,0,0,0,0,37,77.0,0,0,0.0,0,0,16,64.0,14,93.3,10,58.8,13,81.2,7,38.9,28,100.0,2,100.0,0,0.0,0,1,0,0,0,1,5,그랜트
47,6.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,3,75.0,0,0.0,0,0.0,1,0,4,2,0,0,0,0,0,0,28,97.0,0,1,100.0,0,0,2,100.0,10,100.0,14,100.0,4,80.0,3,75.0,24,100.0,1,100.0,0,0.0,0,1,0,0,0,0,3,케빈
98,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,33.3,3,75.0,0,0.0,13,3,1,2,0,0,0,0,0,0,58,87.0,0,0,0.0,0,0,40,83.3,2,25.0,34,91.9,22,100.0,25,73.5,22,100.0,11,100.0,0,0.0,0,1,0,0,0,1,5,임종은
