출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
81,7.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0,0,0.0,0,0.0,0,0.0,6,4,2,2,2,0,0,1,0,0,22,81.0,2,7,100.0,0,0,3,75.0,2,40.0,5,83.3,15,93.8,6,66.7,13,86.7,3,100.0,1,50.0,0,0,0,0,1,1,17,안현범
57,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,0,0,4,0,4,0,0,0,0,19,73.0,1,7,58.3,0,0,0,0.0,1,50.0,4,57.1,14,82.4,2,50.0,11,73.3,6,85.7,0,0.0,0,0,0,0,1,0,29,강성진
57,6.2,0,0,1,0,0,1,1,0,1,0,0,2,0,0.0,1,0,0.0,0,0.0,0,0.0,0,1,0,2,1,1,0,0,0,0,28,97.0,1,10,90.9,0,0,1,100.0,1,100.0,8,100.0,19,95.0,7,100.0,13,92.9,8,100.0,0,0.0,1,0,0,0,1,0,14,케이지로
98,6.4,0,0,2,0,0,2,0,2,0,5,0,2,0,0.0,1,0,0.0,2,100.0,0,0.0,0,4,4,4,2,0,1,0,0,0,77,95.0,0,11,78.6,0,0,23,100.0,21,95.4,28,100.0,28,90.3,14,87.5,54,96.4,9,100.0,0,0.0,1,0,0,0,1,0,6,기성용
97,7.6,1,0,2,1,1,0,2,0,0,1,1,1,1,100.0,0,0,0.0,0,0.0,2,66.7,0,0,0,5,2,1,2,0,0,0,26,81.0,1,13,76.5,0,0,3,75.0,2,66.7,4,80.0,20,83.3,9,69.2,6,75.0,11,100.0,1,20.0,0,0,0,0,1,1,7,나상호
97,7.4,0,1,4,3,0,1,4,0,0,0,0,0,0,0.0,0,3,100.0,2,40.0,0,0.0,3,1,1,9,4,0,2,0,0,0,32,86.0,2,14,82.4,0,0,2,100.0,1,100.0,6,85.7,25,86.2,11,84.6,12,85.7,9,90.0,0,0.0,0,0,0,0,1,1,11,조영욱
97,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,5,62.5,0,0.0,9,5,2,7,5,2,2,0,1,0,41,84.0,0,2,40.0,0,0,9,90.0,2,50.0,17,89.5,22,84.6,17,73.9,10,83.3,14,100.0,0,0.0,1,0,0,0,1,1,5,오스마르
15,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,1,50.0,0,0.0,1,0,0,1,2,0,1,0,0,0,1,33.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0,0,0,1,0,21,강준모
15,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,1,0,0,1,100.0,0,0,0.0,0,0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0,0,0,1,0,16,정재윤
70,6.6,0,0,1,0,1,0,0,1,1,1,0,0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,1,2,4,1,0,2,1,0,0,23,100.0,1,5,100.0,0,0,4,100.0,1,100.0,3,100.0,19,100.0,5,100.0,6,100.0,12,100.0,0,0.0,1,0,0,0,1,0,14,김건웅
