출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
96,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,18,100.0,0,0,0.0,0,0,17,100.0,4,100.0,6,100.0,8,100.0,12,100.0,6,100.0,0,0.0,0,0.0,0,0,0,1,0,0,31,송범근
94,7.8,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,0,0.0,0,0.0,1,100.0,0,3,0,1,0,0,0,0,0,0,12,48.0,0,0,0.0,0,0,12,48.0,6,31.6,2,100.0,4,100.0,6,31.6,6,100.0,0,0.0,0,0.0,0,0,0,1,0,1,21,오승훈
94,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,0,2,0,0,0,0,0,0,19,68.0,0,0,0.0,0,0,19,67.9,2,22.2,7,77.8,10,100.0,12,60.0,7,87.5,0,0.0,0,0.0,0,0,0,1,0,0,25,구성윤
95,6.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,2,0,1,0,0,0,0,0,0,17,81.0,0,0,0.0,0,0,17,81.0,9,69.2,4,100.0,4,100.0,16,80.0,1,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,오승훈
94,7.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,2,0,4,0,0,0,0,0,0,28,74.0,0,0,0.0,0,0,28,73.7,8,44.4,16,100.0,4,100.0,15,60.0,13,100.0,0,0.0,0,0.0,0,0,0,1,0,1,31,송범근
94,6.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,0,0.0,0,0.0,1,100.0,0,3,0,2,0,0,0,0,0,0,23,96.0,0,0,0.0,0,0,22,95.6,1,50.0,14,100.0,8,100.0,17,94.4,6,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,조현우
95,7.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,0,3,0,0,0,0,0,0,24,71.0,0,0,0.0,0,0,24,70.6,6,37.5,11,100.0,7,100.0,15,60.0,9,100.0,0,0.0,0,0.0,1,0,0,1,0,1,31,송범근
98,6.8,0,0,0,0,0,0,0,0,0,5,0,1,0,0.0,1,0,0.0,0,0.0,0,0.0,0,5,0,2,0,0,0,0,0,0,16,57.0,0,0,0.0,0,0,15,55.6,7,38.9,6,85.7,3,100.0,9,42.9,7,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,오승훈
96,6.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,0,1,0,0,0,0,0,0,14,54.0,0,0,0.0,0,0,13,52.0,7,43.8,4,57.1,3,100.0,7,38.9,7,87.5,0,0.0,0,0.0,0,0,0,1,0,0,21,양형모
96,5.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,0,0,6,67.0,0,0,0.0,0,0,6,66.7,2,40.0,1,100.0,3,100.0,4,66.7,2,66.7,0,0.0,0,0.0,0,0,0,1,0,0,1,유상훈
